ticker,data_ticker,signal_type,signal_date,entry_date,entry_open,regime,spy_close,spy_ma50,spy_ma200,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct
EMR,EMR,V0.1,2020-02-05,2020-02-06,66.27102253678258,GREEN,303.40826416015625,292.75697265625,272.73108413696286,2020-01-28,61.57506160565652,7.626400702934366,True,11.0,0.0,-19.57628593562776,0.0,-9.355824402822066,-3.9171848426326594,-5.296527467325918,-15.77974899962089,-18.367699391954474,False,,False,,False,
GWW,GWW,V0.1,2020-02-05,2020-02-06,292.64027450362664,GREEN,303.40826416015625,292.75697265625,272.73108413696286,2020-01-28,275.9455817701913,6.049994577314433,True,11.0,0.0,-14.697663789696659,0.0,-7.202690603371675,-3.1459596857893124,-3.7930184991094573,-11.969915573019296,-9.721092117010654,False,,False,,False,
PNR,PNR,STOCH_ONLY_CONTROL,2020-02-05,2020-02-06,40.92918232399356,GREEN,303.40826416015625,292.75697265625,272.73108413696286,2020-01-29,39.09203661634785,4.699539514084661,True,12.0,0.044663819358836676,-16.971868934723688,0.044663819358836676,-5.381895410188631,-0.31265271192641997,-0.49129371655595167,-12.036626882558753,-14.51541878057413,False,,False,,False,
PNR,PNR,V0.1,2020-02-05,2020-02-06,40.92918232399356,GREEN,303.40826416015625,292.75697265625,272.73108413696286,2020-01-29,39.09203661634785,4.699539514084661,True,12.0,0.044663819358836676,-16.971868934723688,0.044663819358836676,-5.381895410188631,-0.31265271192641997,-0.49129371655595167,-12.036626882558753,-14.51541878057413,False,,False,,False,
EXPD,EXPD,STOCH_ONLY_CONTROL,2020-02-07,2020-02-10,67.81969529500597,GREEN,302.8067626953125,293.57559875488283,273.13859848022463,2020-01-22,67.11469505549083,1.0504409487851252,True,10.0,4.951438682585341,-9.725039262627577,4.951438682585341,-1.8328481104841088,1.8055140955627325,-1.0532155549433986,-3.9529384796760603,-4.322237932559803,True,4.0,True,5.0,False,
EXPD,EXPD,V0.1,2020-02-07,2020-02-10,67.81969529500597,GREEN,302.8067626953125,293.57559875488283,273.13859848022463,2020-01-22,67.11469505549083,1.0504409487851252,True,10.0,4.951438682585341,-9.725039262627577,4.951438682585341,-1.8328481104841088,1.8055140955627325,-1.0532155549433986,-3.9529384796760603,-4.322237932559803,True,4.0,True,5.0,False,
MMM,MMM,STOCH_ONLY_CONTROL,2020-02-07,2020-02-10,106.38414399626632,GREEN,302.8067626953125,293.57559875488283,273.13859848022463,2020-01-28,103.84086746513978,2.4492057830510117,True,9.0,3.014781738380923,-9.587481407508115,3.014781738380923,-4.126827417948576,0.0678606567853457,-7.509034956374516,-8.523056594584022,-3.4465944081940147,True,2.0,True,2.0,False,
MMM,MMM,V0.1,2020-02-07,2020-02-10,106.38414399626632,GREEN,302.8067626953125,293.57559875488283,273.13859848022463,2020-01-28,103.84086746513978,2.4492057830510117,True,9.0,3.014781738380923,-9.587481407508115,3.014781738380923,-4.126827417948576,0.0678606567853457,-7.509034956374516,-8.523056594584022,-3.4465944081940147,True,2.0,True,2.0,False,
BDX,BDX,STOCH_ONLY_CONTROL,2020-02-11,2020-02-12,176.88357413912837,GREEN,305.59600830078125,294.36789672851563,273.5616766357422,2020-02-10,169.84294152692416,4.1453784001309835,True,8.0,1.9590032752818232,-13.821846506436962,1.9590032752818232,-5.300662946619816,-1.2852381435547344,-5.479819343417036,-4.915105455618296,-13.810123413146824,False,,False,,False,
MKC,MKC,STOCH_ONLY_CONTROL,2020-02-11,2020-02-12,71.249782181925,GREEN,305.59600830078125,294.36789672851563,273.5616766357422,2020-02-03,70.04489926959988,1.720157962805513,True,8.0,3.4679077849755213,-19.680177334717243,3.4679077849755213,-3.1554785825479326,0.37984917138991214,-7.934567265629111,-5.924919708840958,-19.62503590438821,True,1.0,True,2.0,False,
MKC,MKC,V0.1,2020-02-11,2020-02-12,71.249782181925,GREEN,305.59600830078125,294.36789672851563,273.5616766357422,2020-02-03,70.04489926959988,1.720157962805513,True,8.0,3.4679077849755213,-19.680177334717243,3.4679077849755213,-3.1554785825479326,0.37984917138991214,-7.934567265629111,-5.924919708840958,-19.62503590438821,True,1.0,True,2.0,False,
VFC,VFC,V0.1,2020-02-12,2020-02-13,68.05030798554479,GREEN,307.5648498535156,294.8172351074219,273.77926040649413,2020-01-16,66.99936248727202,1.5685902958739506,True,6.0,1.0415098220726948,-35.8834293123448,1.0415098220726948,-3.507712310147282,0.22746851883710395,-13.803434643231771,-16.04212767063674,-28.228996021467477,False,,False,,False,
NUE,NUE,STOCH_ONLY_CONTROL,2020-02-20,2020-02-21,42.03510347057345,GREEN,307.136474609375,297.27414855957034,274.8899308776856,2020-02-10,41.40692170175798,1.5170936234769838,True,2.0,2.399501672533244,-42.05429144001518,2.399501672533244,-5.451483837865667,-12.965684079239958,-16.628056690685845,-24.56325179898453,-35.5293473317546,True,0.0,False,,False,
ABT,ABT,STOCH_ONLY_CONTROL,2020-03-02,2020-03-03,72.34511311086489,GREEN,281.7414855957031,296.880341796875,275.8556195068359,2020-02-25,65.6409116392215,10.213449667626984,True,9.0,3.456745640301717,-24.4790437625517,2.3535157218082414,-14.194666171540959,-0.8580370529501113,-2.5619166821525985,-14.574669336961065,-3.272863987654817,True,0.0,False,,False,
