window,signal_type,signal_date,signals,stocks,stop_rate_pct,avg_ret_20d_pct
BULL_2013_2014,V0.2B_NO_MACD,2014-09-04,1,1,100.0,-2.438276337984968
BULL_2013_2014,V0.2B_NO_MACD,2014-09-10,1,1,100.0,-4.938271604938271
BULL_2013_2014,V0.2B_NO_MACD,2014-09-11,3,3,66.66666666666666,2.5397473996321005
BULL_2013_2014,V0.2B_NO_MACD,2014-09-16,1,1,100.0,-12.656746211777515
BULL_2013_2014,V0.2B_NO_MACD,2014-09-17,2,2,100.0,-9.568010054000137
BULL_2013_2014,V0.2B_NO_MACD,2014-09-24,1,1,100.0,1.1945837803357673
BULL_2013_2014,V0.2B_NO_MACD,2014-09-29,1,1,0.0,10.995313148891572
BULL_2013_2014,V0.2B_NO_MACD,2014-09-30,1,1,0.0,2.263421120227238
BULL_2013_2014,V0.2B_NO_MACD,2014-10-02,2,2,0.0,11.447584595902615
BULL_2013_2014,V0.2B_NO_MACD,2014-10-03,6,6,83.33333333333334,1.7303444391385387
BULL_2013_2014,V0.2B_NO_MACD,2014-10-06,3,3,100.0,5.091649360816905
BULL_2013_2014,V0.2B_NO_MACD,2014-10-08,1,1,100.0,10.580230869199614
BULL_2013_2014,V0.2B_NO_MACD,2014-10-14,1,1,0.0,17.203266442995503
BULL_2013_2014,V0.2B_NO_MACD,2014-10-15,3,3,33.33333333333333,15.300647312059304
BULL_2013_2014,V0.2B_NO_MACD,2014-10-16,9,9,0.0,11.825561397153624
BULL_2013_2014,V0.2B_NO_MACD,2014-10-17,6,6,0.0,8.186020896673947
BULL_2013_2014,V0.2B_NO_MACD,2014-10-20,2,2,0.0,12.99983529155362
BULL_2013_2014,V0.2B_NO_MACD,2014-10-31,1,1,0.0,7.318680160236113
BULL_2013_2014,V0.2B_NO_MACD,2014-11-28,4,4,75.0,2.135020932629789
BULL_2013_2014,V0.2B_NO_MACD,2014-12-03,2,2,100.0,-9.979320421134796
BULL_2013_2014,V0.2B_NO_MACD,2014-12-15,1,1,0.0,4.495527704996305
BULL_2013_2014,V0.2B_NO_MACD,2014-12-16,1,1,0.0,1.6977699925890821
BULL_2013_2014,V0.2B_NO_MACD,2014-12-17,8,8,12.5,0.6225677126684537
BULL_2013_2014,V0.2B_NO_MACD,2014-12-18,9,9,55.55555555555556,-2.461183384546714
BULL_2013_2014,V0.2B_NO_MACD,2014-12-19,3,3,33.33333333333333,0.23569105199847673
BULL_2013_2014,V0.2B_NO_MACD,2014-12-30,1,1,0.0,5.318728771163017
BULL_2017,V0.1,2017-01-04,4,4,75.0,-2.1462507470111136
BULL_2017,V0.1,2017-01-05,3,3,66.66666666666666,-5.858386558873231
BULL_2017,V0.1,2017-01-13,1,1,100.0,-2.4080850985524926
BULL_2017,V0.1,2017-01-24,1,1,0.0,2.315378405604762
BULL_2017,V0.1,2017-01-27,1,1,100.0,-3.929280638359256
BULL_2017,V0.1,2017-02-03,1,1,100.0,-3.5577961622319743
BULL_2017,V0.1,2017-02-07,2,2,0.0,6.802873483118188
BULL_2017,V0.1,2017-02-13,1,1,100.0,-1.7165256134024198
BULL_2017,V0.1,2017-02-16,1,1,0.0,3.0361640754798636
BULL_2017,V0.1,2017-03-13,1,1,100.0,0.3022961617834774
BULL_2017,V0.1,2017-03-15,1,1,100.0,-12.715286268428672
BULL_2017,V0.1,2017-03-16,1,1,0.0,0.9579347072650624
BULL_2017,V0.1,2017-03-17,1,1,100.0,-2.3470679681067086
BULL_2017,V0.1,2017-03-28,3,3,100.0,-3.1743359331343086
BULL_2017,V0.1,2017-03-29,2,2,50.0,1.4853086693428663
BULL_2017,V0.1,2017-04-05,1,1,0.0,-0.35814663183990625
BULL_2017,V0.1,2017-04-06,1,1,0.0,6.271800147938689
BULL_2017,V0.1,2017-04-07,2,2,100.0,-1.4723409989178315
BULL_2017,V0.1,2017-04-11,4,4,100.0,-0.9083568000040704
BULL_2017,V0.1,2017-04-12,2,2,50.0,3.034415231000631
BULL_2017,V0.1,2017-04-18,1,1,100.0,-7.704133544861069
BULL_2017,V0.1,2017-04-20,3,3,100.0,-4.271608245039659
BULL_2017,V0.1,2017-05-05,1,1,0.0,1.7616055350709203
BULL_2017,V0.1,2017-05-16,2,2,50.0,3.132736759467769
BULL_2017,V0.1,2017-05-18,1,1,0.0,8.041828361688431
BULL_2017,V0.1,2017-05-19,1,1,0.0,1.0983153298065096
BULL_2017,V0.1,2017-05-23,3,3,33.33333333333333,0.8862623670617852
BULL_2017,V0.1,2017-05-26,1,1,0.0,7.0293874313671845
BULL_2017,V0.1,2017-06-02,1,1,100.0,-2.4796890989841835
BULL_2017,V0.1,2017-06-27,1,1,0.0,1.6657101116560602
BULL_2017,V0.1,2017-06-28,1,1,100.0,2.060390716657068
BULL_2017,V0.1,2017-06-30,1,1,100.0,0.3391774704524897
BULL_2017,V0.1,2017-07-03,1,1,100.0,-1.8144962208527016
BULL_2017,V0.1,2017-07-12,1,1,100.0,-2.2386476299184555
BULL_2017,V0.1,2017-07-13,1,1,0.0,6.078034927043685
BULL_2017,V0.1,2017-07-14,2,2,0.0,1.5664054155787976
BULL_2017,V0.1,2017-07-17,2,2,50.0,2.4814127538930197
BULL_2017,V0.1,2017-07-18,1,1,0.0,3.278002280155823
BULL_2017,V0.1,2017-07-20,1,1,0.0,5.742783996164014
BULL_2017,V0.1,2017-07-25,1,1,100.0,-1.8621124524103916
BULL_2017,V0.1,2017-07-26,1,1,100.0,-7.710254874229361
BULL_2017,V0.1,2017-07-27,1,1,100.0,-1.8692354782856246
BULL_2017,V0.1,2017-08-01,1,1,0.0,0.8226717898064173
BULL_2017,V0.1,2017-08-03,2,2,50.0,3.227528117878109
BULL_2017,V0.1,2017-08-04,1,1,100.0,-3.6914402583222983
BULL_2017,V0.1,2017-08-07,1,1,100.0,-1.5467524266326693
BULL_2017,V0.1,2017-08-15,3,3,0.0,2.5684331167807217
BULL_2017,V0.1,2017-08-16,1,1,100.0,2.4887254859450314
BULL_2017,V0.1,2017-08-23,1,1,100.0,0.9889403475658254
BULL_2017,V0.1,2017-08-29,2,2,0.0,5.906174624620597
BULL_2017,V0.1,2017-08-30,2,2,50.0,1.0728748602953142
BULL_2017,V0.1,2017-08-31,1,1,100.0,-5.425541679621048
BULL_2017,V0.1,2017-09-01,1,1,100.0,-0.43807064654752814
BULL_2017,V0.1,2017-09-07,1,1,100.0,0.924232872681019
BULL_2017,V0.1,2017-09-11,1,1,0.0,6.757869426461216
BULL_2017,V0.1,2017-09-15,1,1,100.0,2.5944462053856254
BULL_2017,V0.1,2017-09-28,1,1,0.0,2.7883079043829584
BULL_2017,V0.1,2017-09-29,1,1,0.0,5.962105964950126
